Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",116.14,517.931,412.08,114.439,60.9325,18.7212,0.7809,34.0049,87.1251,85.3081,95.9726,19.1634,131.083,5.1793,3.6917,1.0074,,9.6105,2.9032,0.277712,0.1853,0.253089,0.732154,0.417066,0.574493,0.410996,0.99156,0.296782,4.05296,0.32086,-0.984,-0.210328,102.383,41.1852,168.792,-1.19433,-0.118,40.79905295372009,-6.2620000541210175,5.35842,1.850000023841858,,,,,,,920.4,7.934482758,920.4,7.934482758,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",116.74,529.045,474.558,137.327,82.3086,30.2045,3.6229,21.1908,80.4426,70.0018,43.9637,5.8195,87.8882,4.7614,3.5979,2.1641,,26.7507,8.4476,0.289378,0.0831001,0.166126,0.500223,0.35312,0.502256,0.363053,0.855375,0.212877,6.37644,0.314666,1.693,1.06408,83.9865,21.4757,131.621,2.75708,4.749,22.473827123641968,10.585999965667725,5.24644,3.0999999046325684,,,,,,,775.3,6.626495726,775.3,6.626495726,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",116.55,531.633,416.41,112.185,64.9259,18.616,1.5806,27.062,88.6865,69.3694,106.167,8.5061,92.318,3.1898,3.4645,2.4022,,15.8693,5.0941,0.269409,0.1997,0.17365,1.15002,0.41861,0.516673,0.399584,0.935283,0.247264,4.79866,0.283275,-0.564,-0.00666663,100.165,37.3488,162.614,-0.570667,-4.68,38.88201206922531,-11.559000015258789,4.60635,4.650000095367432,,,,,,,874.9,7.477777777,874.9,7.477777777,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",115.88,515.028,464.242,126.025,79.4208,22.4247,1.5313,22.6479,68.2192,73.2209,39.6056,3.0902,111.65,6.6954,3.6909,0.7939,,16.5965,4.9294,0.271463,0.0768999,0.216785,0.354729,0.335111,0.472718,0.345911,0.807829,0.201255,5.11718,0.30985,0.417,0.491052,74.5934,13.7388,129.36,0.908052,4.03,18.730431616306305,5.80400025844574,4.3248,9.489999771118164,,,,,,,692.3,5.968103448,692.3,5.968103448,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Cal Raleigh","SEA",111.48,500.052,427.032,93.3461,48.4206,17.2116,0.3488,27.3651,69.158,67.8392,63.4065,7.0007,135.625,4.5005,3.4398,1.673,,6.7205,2.2282,0.218593,0.1268,0.271223,0.467512,0.323555,0.452778,0.331385,0.776334,0.234185,3.77286,0.246675,-1.26,-0.290127,66.5268,7.44182,119.354,-1.55013,1.236,9.856494903564453,6.497000098228455,4.26657,18.729999542236328,,,,,,,608.6,5.482882882,608.6,5.482882882,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Gunnar Henderson","BAL",116.92,534.669,467.832,121.219,72.7914,24.1229,3.2795,21.0251,77.0606,63.3365,56.1402,2.1387,118.268,4.812,3.4038,2.4809,,18.0518,4.8275,0.259108,0.105,0.221198,0.474687,0.342306,0.459516,0.345782,0.801822,0.200408,5.92862,0.301841,1.444,0.764602,77.382,14.2067,124.184,2.2086,-1.184,17.448882579803467,4.6620001792907715,4.14604,12.510000228881836,,,,,,,696.9,5.956410256,696.9,5.956410256,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Elly De La Cruz","CIN",117.29,518.62,456.997,120.499,71.8228,24.3952,3.4293,20.8521,69.6999,70.5063,54.1439,4.149,132.438,3.1117,3.752,0.6157,,30.1978,9.0201,0.263677,0.1044,0.255366,0.408825,0.343153,0.468952,0.347673,0.812105,0.205275,6.47474,0.324099,1.743,1.52093,75.8556,14.5767,118.872,3.26393,1.219,14.864283084869385,6.879999756813049,3.99125,8.449999809265137,,,,,,,701.9,5.999145299,701.9,5.999145299,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Junior Caminero","TBR",117.61,523.523,472.509,126.336,72.2351,21.3054,0.7335,32.0624,74.405,82.9047,42.8242,1.5706,97.3368,3.1411,3.5958,1.4531,,4.7145,1.6824,0.267374,0.0818001,0.185927,0.439959,0.330036,0.519136,0.360605,0.849172,0.251762,3.32916,0.271914,-0.037,-0.516024,82.0694,20.2111,132.069,-0.553024,-0.839,19.234505116939545,0.6260000467300415,3.87653,16.479999542236328,,,,,,,741.9,6.287288135,741.9,6.287288135,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Shohei Ohtani","LAD",116.49,539.791,447.758,118.336,62.2792,20.561,3.7917,31.7043,94.1236,74.4243,81.2925,15.1141,131.551,4.3183,3.2327,3.1894,,16.7133,4.6866,0.264286,0.1506,0.243708,0.617953,0.380072,0.539563,0.383862,0.919634,0.275277,6.33137,0.301082,0.076,0.546873,94.8122,31.0317,149.052,0.622873,0,32.0046421289444,-13.59000015258789,3.72269,1.2699999809265137,,,,,,,870.6,7.505172413,870.6,7.505172413,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"William Contreras","MIL",113.57,501.104,431.784,116.633,77.2275,23.098,0.5913,15.7161,63.235,61.3677,61.4354,3.5077,88.1702,3.5077,3.3877,0.9897,,3.9208,1.3633,0.270119,0.1226,0.175952,0.696782,0.363069,0.435546,0.347578,0.798615,0.165428,3.03835,0.304622,-0.596,-0.689542,73.255,14.0457,124.442,-1.28554,-0.043,13.23089051246643,5.860999803990126,3.6411,56.560001373291016,,,,,,,645.8,5.66491228,645.8,5.66491228,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Yordan Alvarez","HOU",95.74,432.431,362.916,108.049,62.155,21.4684,0.8722,23.5532,70.2169,64.5725,58.4646,10.3783,71.9662,6.4865,2.9674,1.5961,,2.6722,0.8671,0.297724,0.1352,0.166423,0.81239,0.401546,0.556386,0.402011,0.957931,0.258662,3.34264,0.312525,-0.731,-0.591251,82.3269,31.2319,162.05,-1.32225,-0.528,30.30261504650116,-9.765999913215637,3.62476,33.38999938964844,,,,,,,728.9,7.592708333,728.9,7.592708333,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Kevin McGonigle","DET",116.67,533.129,460.613,122.684,79.7983,26.9885,3.7788,12.1181,71.4938,50.9855,62.1628,0,72.2702,4.265,3.3042,2.7836,,11.5673,3.2436,0.266349,0.1166,0.135559,0.860144,0.356582,0.420275,0.341182,0.776856,0.153926,5.31087,0.291323,0.725,0.0198126,75.168,12.1747,119.32,0.744813,-1.043,12.884931147098541,4.046000242233276,3.61064,999,,,,,,,654.1,5.59059829,654.1,5.59059829,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","33572",805808
"Fernando Tatis Jr.","SDP",117.12,519.792,450.522,119.696,74.5091,22.3291,1.7223,21.1357,73.5203,64.4157,58.9964,3.1188,105.422,4.6781,3.6077,1.9884,,21.6813,5.6251,0.265684,0.1135,0.202816,0.559621,0.354132,0.463634,0.352662,0.817765,0.19795,5.45616,0.300882,0.509,1.14103,78.1326,16.7151,130.909,1.65003,2.55,20.691755294799805,-2.7430002689361572,3.60691,14.010000228881836,,,,,,,710.6,6.073504273,710.6,6.073504273,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ketel Marte","ARI",115.05,524.383,455.845,124.127,75.8381,24.9179,2.9223,20.4485,75.6267,63.7406,57.42,3.6707,86.565,5.2438,3.4082,2.4661,,4.0781,1.225,0.2723,0.1095,0.16508,0.663317,0.357893,0.47436,0.357671,0.832253,0.20206,4.41139,0.29434,-0.042,-0.57615,80.9551,18.9952,129.617,-0.61815,-0.949,17.78893506526947,-0.39499998092651367,3.56578,32.63999938964844,,,,,,,706.8,6.146086956,706.8,6.146086956,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Geraldo Perdomo","ARI",118.03,527.683,447.401,118.076,81.472,22.0309,4.3199,10.2536,69.4205,50.6162,69.3375,0.5277,69.0786,5.2768,3.4769,2.1909,,18.8121,5.651,0.263917,0.1314,0.130909,1.00375,0.366686,0.401224,0.340215,0.767911,0.137308,5.90351,0.290201,0.311,0.42129,73.9857,11.6359,117.659,0.73229,-0.413,11.7764111161232,5.488999962806702,3.56387,76.7699966430664,,,,,,,635.7,5.387288135,635.7,5.387288135,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"José Ramírez","CLE",115.29,510.19,446.485,119.518,71.7677,25.2963,1.5257,20.9285,68.8567,70.8951,55.9678,13.7751,63.0437,3.5713,3.7189,0.4469,,28.5788,7.1894,0.267687,0.1097,0.123569,0.887762,0.35127,0.4718,0.346413,0.82307,0.204113,5.68376,0.269201,0.066,1.99567,74.1004,13.8176,124.359,2.06167,-0.237,16.709240913391113,0.4169999808073044,3.5498,6.28000020980835,,,,,,,722.8,6.285217391,722.8,6.285217391,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Corbin Carroll","ARI",116.22,520.39,447.975,113.107,63.1919,21.3378,8.8046,19.773,74.1906,66.7695,60.6255,2.602,110.605,6.7651,3.6039,1.4207,,23.5884,5.7869,0.252486,0.1165,0.212542,0.548126,0.347801,0.471842,0.351918,0.819642,0.219356,7.518,0.290579,2.441,1.50296,77.9081,16.42,125.676,3.94396,1.888,19.78032922744751,-3.752999782562256,3.41236,14.100000381469727,,,,,,,717.8,6.187931034,717.8,6.187931034,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Vladimir Guerrero Jr.","TOR",117.84,522.439,449.082,130.952,82.9133,25.2718,0.4104,22.356,72.2131,74.9805,63.7376,7.8366,69.5627,5.2244,3.7846,0.6111,,3.9101,1.417,0.291599,0.122,0.13315,0.916261,0.383102,0.499045,0.376326,0.882148,0.207447,2.96894,0.300862,-0.491,-0.749163,88.5678,26.8376,144.384,-1.24016,-1.061,26.089682817459106,-11.003000378608704,3.38429,18.049999237060547,,,,,,,775.7,6.573728813,775.7,6.573728813,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Nick Kurtz","ATH",114.41,519.513,433.079,110.699,60.0024,21.0356,2.001,27.6604,80.7449,69.0756,77.6152,5.7146,148.806,3.1171,3.3043,2.3971,,7.001,2.0209,0.25561,0.1494,0.286434,0.521587,0.370191,0.505031,0.373048,0.875222,0.249421,4.53655,0.319483,-0.151,-0.318752,86.6892,25.3048,138.703,-0.469752,-0.63,23.22856241464615,-10.164000391960144,3.16709,19.8700008392334,,,,,,,774.8,6.796491228,774.8,6.796491228,,,,,,,,,,,,,,,,,,,"Nick Kurtz","35110",701762
"Mookie Betts","LAD",94.09,424.722,367.742,98.8085,62.1426,19.6834,1.9087,15.0737,61.3503,52.555,49.0979,1.6989,50.6748,3.3978,2.8645,1.6203,,5.3561,1.5195,0.26869,0.1156,0.119313,0.968882,0.357607,0.455565,0.352258,0.813172,0.186875,4.60144,0.274668,-0.183,-0.296631,63.7027,13.5185,127.402,-0.479631,-1.209,13.31426215171814,3.4950000047683716,3.16649,60.58000183105469,,,,,,,556.7,5.922340425,556.7,5.922340425,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Jackson Merrill","SDP",117.79,520.28,471.841,121.528,75.7169,24.7291,3.0717,18.0103,64.3213,62.3797,39.6974,2.6014,107.013,3.642,3.4543,1.6455,,10.1902,3.061,0.257561,0.0763001,0.205684,0.370957,0.317887,0.437502,0.324814,0.75539,0.179941,5.16645,0.295536,1.145,0.0157101,66.4424,4.96735,111.832,1.16071,2.791,8.45685887336731,4.584999918937683,3.10653,70.79000091552734,,,,,,,612.6,5.191525423,612.6,5.191525423,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Ronald Acuña Jr.","ATL",99.1,455.793,380.592,104.148,67.3971,17.7645,1.703,17.2838,70.5993,51.2099,64.4948,2.7348,92.2935,5.4695,2.7877,2.4496,,19.0742,5.1316,0.273649,0.1415,0.20249,0.698801,0.384063,0.465513,0.369013,0.849576,0.191864,5.72285,0.317253,0.998,0.8246,74.5635,20.708,137.9,1.8226,-2.036,22.2966867685318,-7.4090001583099365,3.07573,5.260000228881836,,,,,,,653.9,6.605050505,653.9,6.605050505,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Bryce Harper","PHI",116.46,515.394,438.765,118.874,68.3049,27.0241,0.9906,22.5546,70.9313,73.6121,68.8051,5.6693,104.777,3.6078,3.7551,0.4608,,7.6366,2.5455,0.270929,0.1335,0.203295,0.656681,0.371479,0.49125,0.368945,0.862729,0.220321,3.83262,0.305594,0.139,-0.406653,84.2851,23.3873,136.714,-0.267653,0.503,22.15910905599594,-9.283000230789185,3.07293,47.900001525878906,,,,,,,753.4,6.494827586,753.4,6.494827586,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Corey Seager","TEX",104.5,465.091,403.441,104.771,63.9348,20.1488,0.3861,20.3013,61.118,62.8643,53.3459,7.9065,93.437,4.1858,3.3336,0.7843,,2.2604,0.7575,0.259693,0.1147,0.200901,0.570929,0.349559,0.462511,0.346317,0.81207,0.202817,2.76442,0.288257,-0.977,-0.607816,67.514,12.5599,124.514,-1.58482,-1.632,11.852806568145752,2.124000072479248,3.06868,95.08999633789062,,,,,,,603,5.798076923,603,5.798076923,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"JJ Wetherholt","STL",113.03,523.07,451.527,115.024,76.6106,21.7559,1.0037,15.6538,70.6876,50.3593,55.3409,1.5692,93.0145,9.9383,3.1183,3.1464,,12.0457,2.9179,0.254745,0.1058,0.177824,0.594971,0.346788,0.411379,0.333136,0.758167,0.156635,4.78071,0.287217,0.23,0.287858,70.3328,8.52795,115.942,0.517859,0.125,10.400971412658691,2.093999981880188,3.06008,999,,,,,,,621.3,5.498230088,621.3,5.498230088,,,,,,,,,,,,,,,,,,,"JJ Wetherholt","34985",802139
"Pete Crow-Armstrong","CHC",115.68,459.916,420.664,104.991,63.5536,20.8288,3.6067,17.0015,56.5385,59.9249,28.0089,1.3797,107.984,5.9789,3.3957,1.8684,,24.6208,7.4375,0.249583,0.0609,0.234792,0.259379,0.303415,0.437492,0.318047,0.740907,0.187909,6.7152,0.294205,0.897,1.24355,56.2065,1.86383,105.249,2.14055,7.546,5.002022981643677,9.473999977111816,3.04765,32.939998626708984,,,,,,,540.4,4.658620689,540.4,4.658620689,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Maikel Garcia","KCR",117.35,532.356,475.681,129.79,88.5118,27.8636,2.8509,10.5637,69.6798,50.2642,48.4977,0,78.0116,2.1294,3.2993,2.7493,,21.0576,5.7332,0.272851,0.0911001,0.14654,0.621673,0.340662,0.410037,0.328734,0.750699,0.137186,5.75083,0.305392,0.777,0.945126,69.6786,6.77657,107.979,1.72213,2.573,6.7286964654922485,4.611000061035156,3.03587,63.150001525878906,,,,,,,626.8,5.357264957,626.8,5.357264957,,,,,,,,,,,,,,,,,,,"Maikel Garcia","22715",672580
"Kyle Tucker","LAD",116.41,512.225,431.513,111.589,67.231,21.678,1.303,21.3767,74.7744,69.816,72.992,4.0978,83.4978,3.0733,3.4362,1.2101,,13.753,3.268,0.258599,0.1425,0.16301,0.874179,0.367218,0.463492,0.358917,0.83071,0.204893,4.96122,0.273308,0,0.493354,79.5963,19.073,131.964,0.493354,-1.461,19.898513346910477,-7.281000137329102,3.03568,13.130000114440918,,,,,,,708.3,6.106034482,708.3,6.106034482,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Nico Hoerner","CHC",117.28,524.835,473.258,133.111,98.6703,25.4232,1.6868,7.3304,65.5241,46.8378,37.7356,0.5248,48.6036,7.8725,3.2987,2.6699,,21.2304,5.0124,0.281264,0.0718999,0.0926074,0.776395,0.342265,0.38858,0.321907,0.730845,0.107316,5.60096,0.299033,0.798,1.2444,65.7853,3.77196,107.894,2.0424,2.996,6.952822685241699,5.0329999923706055,3.014,101.93000030517578,,,,,,,585.4,5.003418803,585.4,5.003418803,,,,,,,,,,,,,,,,,,,"Nico Hoerner","21479",663538
"Trea Turner","PHI",115.65,534.416,486.807,132.469,91.5433,24.0528,2.6535,14.2192,71.9618,53.1498,37.035,0.5344,99.0653,4.2753,3.2509,3.0474,,20.6905,3.9704,0.272118,0.0692999,0.185371,0.373844,0.327041,0.420056,0.324758,0.747096,0.147938,6.04403,0.313848,1.454,1.63862,68.2233,5.07788,106.444,3.09262,-1.391,7.174469947814941,4.391000032424927,3.00363,26.780000686645508,,,,,,,622.2,5.363793103,622.2,5.363793103,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Adley Rutschman","BAL",101.45,448.032,389.096,99.5709,63.9781,20.3848,1.1294,14.0786,55.2873,54.2286,52.7781,1.3441,69.1813,2.2402,3.1725,0.7445,,0.9086,0.3226,0.255903,0.1178,0.154412,0.762895,0.345615,0.422647,0.335541,0.768262,0.166744,2.54222,0.276666,-0.358,-0.727092,61.1179,8.17948,117.13,-1.08509,-0.339,7.960466504096985,3.128999948501587,2.936,148.92999267578125,,,,,,,533.2,5.27920792,533.2,5.27920792,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Jacob Wilson","ATH",113.75,486.042,448.261,132.211,94.1001,26.819,0.7873,10.5048,57.5074,56.1303,27.51,0.486,44.333,5.3465,3.5942,1.33,,4.6328,1.5443,0.294942,0.0566001,0.0912123,0.620531,0.340548,0.428588,0.334158,0.769136,0.133645,3.37942,0.306552,0.063,-0.540775,65.7572,8.32761,111.913,-0.477775,-0.16,6.346832573413849,5.444000095129013,2.91884,196.44000244140625,,,,,,,581.5,5.100877192,581.5,5.100877192,,,,,,,,,,,,,,,,,,,"Jacob Wilson","33266",805779
"Bo Bichette","NYM",115.16,519.469,474.78,132.194,91.8214,25.5086,1.0021,13.862,64.5764,57.8993,36.207,1.0389,85.7927,3.1168,3.4202,1.9451,,4.3787,1.3302,0.278432,0.0697,0.165155,0.422029,0.33142,0.423971,0.327905,0.755391,0.145539,3.64384,0.312597,0.203,-0.527919,67.6424,6.26318,113.512,-0.324919,1.355,7.994009286165237,3.197000026702881,2.9144,92.86000061035156,,,,,,,598.7,5.206086956,598.7,5.206086956,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
"James Wood","WSN",116.71,537.084,452.417,115.139,65.1698,25.3688,0.8468,23.7535,78.7092,61.9093,74.1713,7.5192,154.681,4.2967,3.3082,2.8905,,15.8712,4.9298,0.254497,0.1381,0.288002,0.47951,0.362429,0.471825,0.357329,0.834254,0.217328,4.75745,0.329566,0.408,0.256791,82.7666,19.306,130.387,0.664791,-0.999,20.007733941078186,-9.483000218868256,2.90624,37.790000915527344,,,,,,,746.2,6.377777777,746.2,6.377777777,,,,,,,,,,,,,,,,,,,"James Wood","29518",695578
"Brice Turang","MIL",118.19,524.682,459.239,119.676,82.9668,21.6588,2.0641,12.9867,65.3466,54.869,57.5052,1.0494,108.702,2.6234,3.5605,1.7539,,22.6873,5.5659,0.260597,0.1096,0.207177,0.529017,0.343842,0.401585,0.32764,0.745427,0.140988,5.65137,0.312771,0.535,1.32039,68.2084,6.21313,110.784,1.85539,-0.263,8.561381340026855,1.8339998722076416,2.85076,48.18000030517578,,,,,,,620.3,5.256779661,620.3,5.256779661,,,,,,,,,,,,,,,,,,,"Brice Turang","22186",668930
"Alex Bregman","CHC",117.47,521.748,451.924,114.673,74.8585,21.6368,1.6126,16.5649,64.5988,62.8344,59.4271,2.6087,75.0645,5.7392,3.7118,0.9464,,2.2445,0.7968,0.253744,0.1139,0.143871,0.791681,0.345312,0.41872,0.333625,0.764032,0.164977,3.22649,0.269522,-0.631,-0.78458,70.3623,8.71373,115.921,-1.41558,-0.392,8.429914474487305,1.5659999549388885,2.7999,119.16999816894531,,,,,,,623,5.324786324,623,5.324786324,,,,,,,,,,,,,,,,,,,"Alex Bregman","17678",608324
"Francisco Lindor","NYM",86.54,397.615,348.4,88.2184,55.417,16.5752,1.3732,14.853,55.6384,44.0316,38.3301,0.7952,73.3382,6.3618,2.4554,2.0677,,13.0494,3.242,0.25321,0.0964,0.184445,0.522649,0.336016,0.436564,0.336004,0.77258,0.183354,5.48828,0.279312,-0.358,0.626588,54.3899,7.40858,119.06,0.268588,0.924,9.250697255134583,4.83899998664856,2.79592,25.350000381469727,,,,,,,489.1,5.62183908,489.1,5.62183908,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Michael Harris II","ATL",105.02,433.476,405.919,113.051,72.98,19.9026,2.6117,17.5566,54.3692,61.6647,20.2867,0.867,81.8739,3.0343,2.9966,1.2396,,11.5659,3.3771,0.278506,0.0468,0.188877,0.24778,0.315503,0.47016,0.335773,0.785662,0.191654,5.47502,0.308559,0.325,0.300175,59.214,7.99544,115.13,0.625175,3.059,8.398171246051788,4.226000070571899,2.76813,99.06999969482422,,,,,,,554.5,5.28095238,554.5,5.28095238,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Matt Olson","ATL",117.1,515.039,441.056,113.068,63.245,23.8868,0.8407,25.0956,70.5645,75.8893,65.6675,3.0902,124.025,4.1203,3.5953,0.6,,1.1321,0.3834,0.256358,0.1275,0.240807,0.52947,0.355447,0.485025,0.360657,0.840472,0.228667,2.57544,0.297676,-0.762,-0.788428,80.7612,19.9053,132.176,-1.55043,1.395,18.090569257736206,-8.363000392913818,2.74959,48.0099983215332,,,,,,,714,6.102564102,714,6.102564102,,,,,,,,,,,,,,,,,,,"Matt Olson","14344",621566
"Carlos Correa","HOU",100.36,451.91,398.743,104.559,69.7006,20.9786,0.6421,13.2372,56.6135,48.5917,45.7333,1.8076,88.1223,2.7115,2.8972,1.8249,,1.4016,0.433,0.26222,0.1012,0.195,0.518975,0.339943,0.417644,0.330347,0.757588,0.155424,2.62908,0.30412,0.009,-0.665025,59.7412,6.34457,112.683,-0.656025,2.71,6.099239945411682,5.044000148773193,2.73233,281.2300109863281,,,,,,,526.7,5.267,526.7,5.267,,,,,,,,,,,,,,,,,,,"Carlos Correa","14162",621043
"Xavier Edwards","MIA",106.77,480.872,425.834,122.762,95.1284,18.6755,4.0426,4.9154,58.2528,40.9357,46.885,0.9617,64.0455,2.8852,3.0388,2.2283,,18.8514,4.8909,0.288286,0.0975,0.133186,0.732058,0.360461,0.385757,0.329888,0.746218,0.0974719,5.97972,0.327431,0.688,0.817147,63.3907,6.57201,110.228,1.50515,0.935,7.33449399471283,2.7140000462532043,2.66604,182.42999267578125,,,,,,,559.8,5.2317757,559.8,5.2317757,,,,,,,,,,,,,,,,,,,"Xavier Edwards","22266",669364
"CJ Abrams","WSN",114.71,501.328,449.2,114.582,71.4004,23.2201,3.1859,16.7758,62.2537,60.5299,37.0481,2.5066,94.0175,10.5279,3.2851,1.2672,,22.6442,6.2756,0.255081,0.0738999,0.187537,0.394055,0.324277,0.432996,0.32718,0.757273,0.177915,6.1939,0.286242,0.637,1.18998,64.9851,5.74937,109.734,1.82698,-3.408,7.610838532447815,1.6970000267028809,2.65994,65,,,,,,,609.5,5.3,609.5,5.3,,,,,,,,,,,,,,,,,,,"CJ Abrams","25768",682928
"Zach Neto","LAA",115.96,529.415,468.497,111.62,66.3278,24.2856,1.4559,19.5504,70.0321,54.8559,42.9885,3.1765,134.833,11.6471,3.2314,3.0515,,23.2348,7.2171,0.238251,0.0812,0.254684,0.318827,0.315856,0.421493,0.319221,0.73735,0.183242,5.87913,0.290125,0.318,0.913842,65.2049,2.65042,103.265,1.23184,-1.357,3.2692593336105347,4.440999865531921,2.65417,32.29999923706055,,,,,,,611.6,5.272413793,611.6,5.272413793,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Masyn Winn","STL",118.16,495.396,447.036,112.986,77.3204,22.6911,2.4815,10.4929,52.5935,50.1235,38.6904,0,88.6025,4.954,3.2513,1.4649,,9.6605,3.0173,0.252745,0.0780999,0.178852,0.436674,0.317109,0.385022,0.308297,0.702132,0.132278,4.70734,0.291844,1.03,-0.102107,56.6212,-1.91372,98.9266,0.927893,3.181,0.2976396679878235,9.08899998664856,2.6478,364.7799987792969,,,,,,,500.5,4.241525423,500.5,4.241525423,,,,,,,,,,,,,,,,,,,"Masyn Winn","27479",691026
"Gabriel Moreno","ARI",80.41,322.574,284.641,77.0475,53.0591,15.7873,0.8932,7.3078,36.5276,36.0008,31.7735,1.2903,57.4121,2.5806,2.359,1.2197,,2.7273,0.9783,0.270683,0.0985,0.177981,0.553429,0.346663,0.409444,0.330656,0.756107,0.138761,3.57592,0.313747,0.245,-0.423726,42.7242,4.60966,111.111,-0.178726,1.79,4.069154784083366,7.718999862670898,2.56322,181.22000122070312,,,,,,,372,4.65,372,4.65,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Xander Bogaerts","SDP",109.59,459.261,411.186,108.696,76.4286,19.7608,0.5283,11.978,51.2222,50.7772,40.5987,0.9185,78.8655,3.2148,3.2504,1.0112,,11.6322,3.0549,0.264347,0.0884,0.171722,0.514784,0.332808,0.402365,0.321827,0.735173,0.138019,4.15072,0.298887,0.312,0.28767,57.5359,3.27068,109.785,0.59967,-1.858,5.9260260462760925,3.621000051498413,2.54112,237.1999969482422,,,,,,,522.3,4.748181818,522.3,4.748181818,,,,,,,,,,,,,,,,,,,"Xander Bogaerts","12161",593428
"Austin Wells","NYY",85.47,338.399,297.299,66.1601,39.0983,13.5144,0.6635,12.8839,38.7332,40.8218,34.0091,1.3536,80.4789,3.384,2.4179,1.2886,,2.6289,0.7941,0.222537,0.1005,0.237823,0.422584,0.307179,0.402467,0.308991,0.709647,0.17993,3.42973,0.258178,-0.132,-0.295453,38.8677,-1.1167,98.5241,-0.427453,0.076,-1.0160917043685913,6.9469998106360435,2.5236,246.13999938964844,,,,,,,355,4.176470588,355,4.176470588,,,,,,,,,,,,,,,,,,,"Austin Wells","27562",669224
"Byron Buxton","MIN",99.45,456.452,408.535,99.5659,53.5689,19.3767,3.3547,23.2656,65.3831,57.8293,36.2423,2.7387,122.438,6.3903,2.8086,2.476,,11.6391,2.3166,0.243715,0.0794,0.268238,0.296006,0.313229,0.478414,0.336912,0.791644,0.2347,6.23194,0.287232,0.708,0.762121,62.7746,8.84127,115.872,1.47012,-0.752,10.008941531181335,-1.0839999616146088,2.52137,73.4800033569336,,,,,,,582.6,5.884848484,582.6,5.884848484,,,,,,,,,,,,,,,,,,,"Byron Buxton","14161",621439
"Cody Bellinger","NYY",111.32,485.41,431.899,113.485,71.9319,19.5135,3.3548,18.6849,62.4016,67.7369,46.7935,1.9416,71.7384,2.9125,3.3111,0.494,,9.2489,2.857,0.262758,0.0963999,0.147789,0.65228,0.336535,0.453261,0.340401,0.789796,0.190502,4.98058,0.274953,0.301,-0.110407,68.1321,10.7771,120.161,0.190593,0.528,11.725175216794014,-3.899999976158142,2.51088,80.98999786376953,,,,,,,613.2,5.524324324,613.2,5.524324324,,,,,,,,,,,,,,,,,,,"Cody Bellinger","15998",641355
